,"date","d","m","weekday","winter","summer","easter","other","active","weekday_number","week_number","month_name"
1,"1/1/10",1,1,1,0,1,1,1,0,6,1,"Jan"
2,"1/2/10",2,1,0,0,1,1,1,0,7,1,"Jan"
3,"1/3/10",3,1,0,0,1,1,1,0,1,2,"Jan"
4,"1/4/10",4,1,1,0,1,1,1,0,2,2,"Jan"
5,"1/5/10",5,1,1,1,1,1,1,1,3,2,"Jan"
6,"1/6/10",6,1,1,1,1,1,1,1,4,2,"Jan"
7,"1/7/10",7,1,1,1,1,1,1,1,5,2,"Jan"
8,"1/8/10",8,1,1,1,1,1,1,1,6,2,"Jan"
9,"1/9/10",9,1,0,1,1,1,1,0,7,2,"Jan"
10,"1/10/10",10,1,0,1,1,1,1,0,1,3,"Jan"
11,"1/11/10",11,1,1,1,1,1,1,1,2,3,"Jan"
12,"1/12/10",12,1,1,1,1,1,1,1,3,3,"Jan"
13,"1/13/10",13,1,1,1,1,1,1,1,4,3,"Jan"
14,"1/14/10",14,1,1,1,1,1,1,1,5,3,"Jan"
15,"1/15/10",15,1,1,1,1,1,1,1,6,3,"Jan"
16,"1/16/10",16,1,0,1,1,1,1,0,7,3,"Jan"
17,"1/17/10",17,1,0,1,1,1,1,0,1,4,"Jan"
18,"1/18/10",18,1,1,1,1,1,1,1,2,4,"Jan"
19,"1/19/10",19,1,1,1,1,1,1,1,3,4,"Jan"
20,"1/20/10",20,1,1,1,1,1,1,1,4,4,"Jan"
21,"1/21/10",21,1,1,1,1,1,1,1,5,4,"Jan"
22,"1/22/10",22,1,1,1,1,1,1,1,6,4,"Jan"
23,"1/23/10",23,1,0,1,1,1,1,0,7,4,"Jan"
24,"1/24/10",24,1,0,1,1,1,1,0,1,5,"Jan"
25,"1/25/10",25,1,1,1,1,1,1,1,2,5,"Jan"
26,"1/26/10",26,1,1,1,1,1,1,1,3,5,"Jan"
27,"1/27/10",27,1,1,1,1,1,1,1,4,5,"Jan"
28,"1/28/10",28,1,1,1,1,1,1,1,5,5,"Jan"
29,"1/29/10",29,1,1,1,1,1,1,1,6,5,"Jan"
30,"1/30/10",30,1,0,1,1,1,1,0,7,5,"Jan"
31,"1/31/10",31,1,0,1,1,1,1,0,1,6,"Jan"
32,"2/1/10",1,2,1,1,1,1,1,1,2,1,"Feb"
33,"2/2/10",2,2,1,1,1,1,1,1,3,1,"Feb"
34,"2/3/10",3,2,1,1,1,1,1,1,4,1,"Feb"
35,"2/4/10",4,2,1,1,1,1,1,1,5,1,"Feb"
36,"2/5/10",5,2,1,1,1,1,1,1,6,1,"Feb"
37,"2/6/10",6,2,0,1,1,1,1,0,7,1,"Feb"
38,"2/7/10",7,2,0,1,1,1,1,0,1,2,"Feb"
39,"2/8/10",8,2,1,1,1,1,1,1,2,2,"Feb"
40,"2/9/10",9,2,1,1,1,1,1,1,3,2,"Feb"
41,"2/10/10",10,2,1,1,1,1,1,1,4,2,"Feb"
42,"2/11/10",11,2,1,1,1,1,1,1,5,2,"Feb"
43,"2/12/10",12,2,1,1,1,1,1,1,6,2,"Feb"
44,"2/13/10",13,2,0,1,1,1,1,0,7,2,"Feb"
45,"2/14/10",14,2,0,1,1,1,1,0,1,3,"Feb"
46,"2/15/10",15,2,1,1,1,1,1,1,2,3,"Feb"
47,"2/16/10",16,2,1,1,1,1,1,1,3,3,"Feb"
48,"2/17/10",17,2,1,1,1,1,1,1,4,3,"Feb"
49,"2/18/10",18,2,1,1,1,1,1,1,5,3,"Feb"
50,"2/19/10",19,2,1,1,1,1,1,1,6,3,"Feb"
51,"2/20/10",20,2,0,1,1,1,1,0,7,3,"Feb"
52,"2/21/10",21,2,0,1,1,1,1,0,1,4,"Feb"
53,"2/22/10",22,2,1,1,1,1,1,1,2,4,"Feb"
54,"2/23/10",23,2,1,1,1,1,1,1,3,4,"Feb"
55,"2/24/10",24,2,1,1,1,1,1,1,4,4,"Feb"
56,"2/25/10",25,2,1,1,1,1,1,1,5,4,"Feb"
57,"2/26/10",26,2,1,1,1,1,1,1,6,4,"Feb"
58,"2/27/10",27,2,0,1,1,1,1,0,7,4,"Feb"
59,"2/28/10",28,2,0,1,1,1,1,0,1,5,"Feb"
60,"3/1/10",1,3,1,1,1,1,1,1,2,1,"Mar"
61,"3/2/10",2,3,1,1,1,1,1,1,3,1,"Mar"
62,"3/3/10",3,3,1,1,1,1,1,1,4,1,"Mar"
63,"3/4/10",4,3,1,1,1,1,1,1,5,1,"Mar"
64,"3/5/10",5,3,1,1,1,1,1,1,6,1,"Mar"
65,"3/6/10",6,3,0,1,1,1,1,0,7,1,"Mar"
66,"3/7/10",7,3,0,1,1,1,1,0,1,2,"Mar"
67,"3/8/10",8,3,1,1,1,1,1,1,2,2,"Mar"
68,"3/9/10",9,3,1,1,1,1,1,1,3,2,"Mar"
69,"3/10/10",10,3,1,1,1,1,1,1,4,2,"Mar"
70,"3/11/10",11,3,1,1,1,1,1,1,5,2,"Mar"
71,"3/12/10",12,3,1,1,1,1,1,1,6,2,"Mar"
72,"3/13/10",13,3,0,1,1,1,1,0,7,2,"Mar"
73,"3/14/10",14,3,0,1,1,1,1,0,1,3,"Mar"
74,"3/15/10",15,3,1,1,1,1,1,1,2,3,"Mar"
75,"3/16/10",16,3,1,1,1,1,1,1,3,3,"Mar"
76,"3/17/10",17,3,1,1,1,1,1,1,4,3,"Mar"
77,"3/18/10",18,3,1,1,1,1,1,1,5,3,"Mar"
78,"3/19/10",19,3,1,1,1,1,1,1,6,3,"Mar"
79,"3/20/10",20,3,0,1,1,1,1,0,7,3,"Mar"
80,"3/21/10",21,3,0,1,1,1,1,0,1,4,"Mar"
81,"3/22/10",22,3,1,1,1,1,1,1,2,4,"Mar"
82,"3/23/10",23,3,1,1,1,1,1,1,3,4,"Mar"
83,"3/24/10",24,3,1,1,1,1,1,1,4,4,"Mar"
84,"3/25/10",25,3,1,1,1,1,1,1,5,4,"Mar"
85,"3/26/10",26,3,1,1,1,0,1,0,6,4,"Mar"
86,"3/27/10",27,3,0,1,1,0,1,0,7,4,"Mar"
87,"3/28/10",28,3,0,1,1,0,1,0,1,5,"Mar"
88,"3/29/10",29,3,1,1,1,0,1,0,2,5,"Mar"
89,"3/30/10",30,3,1,1,1,0,1,0,3,5,"Mar"
90,"3/31/10",31,3,1,1,1,0,1,0,4,5,"Mar"
91,"4/1/10",1,4,1,1,1,0,1,0,5,1,"Apr"
92,"4/2/10",2,4,1,1,1,0,1,0,6,1,"Apr"
93,"4/3/10",3,4,0,1,1,0,1,0,7,1,"Apr"
94,"4/4/10",4,4,0,1,1,0,1,0,1,2,"Apr"
95,"4/5/10",5,4,1,1,1,0,1,0,2,2,"Apr"
96,"4/6/10",6,4,1,1,1,0,1,0,3,2,"Apr"
97,"4/7/10",7,4,1,1,1,0,1,0,4,2,"Apr"
98,"4/8/10",8,4,1,1,1,0,1,0,5,2,"Apr"
99,"4/9/10",9,4,1,1,1,0,1,0,6,2,"Apr"
100,"4/10/10",10,4,0,1,1,0,1,0,7,2,"Apr"
101,"4/11/10",11,4,0,1,1,1,1,0,1,3,"Apr"
102,"4/12/10",12,4,1,1,1,1,1,1,2,3,"Apr"
103,"4/13/10",13,4,1,1,1,1,1,1,3,3,"Apr"
104,"4/14/10",14,4,1,1,1,1,1,1,4,3,"Apr"
105,"4/15/10",15,4,1,1,1,1,1,1,5,3,"Apr"
106,"4/16/10",16,4,1,1,1,1,1,1,6,3,"Apr"
107,"4/17/10",17,4,0,1,1,1,1,0,7,3,"Apr"
108,"4/18/10",18,4,0,1,1,1,1,0,1,4,"Apr"
109,"4/19/10",19,4,1,1,1,1,1,1,2,4,"Apr"
110,"4/20/10",20,4,1,1,1,1,1,1,3,4,"Apr"
111,"4/21/10",21,4,1,1,1,1,1,1,4,4,"Apr"
112,"4/22/10",22,4,1,1,1,1,1,1,5,4,"Apr"
113,"4/23/10",23,4,1,1,1,1,1,1,6,4,"Apr"
114,"4/24/10",24,4,0,1,1,1,1,0,7,4,"Apr"
